timestamp,datetime_utc,latitude,longitude,mq2,mq4,temperature,pressure,humidity,status
1758197801,2025-09-18 12:16:41,0.0,0.0,775,1023,25.1,0.0,41,0
1758197831,2025-09-18 12:17:11,0.0,0.0,775,1023,25.2,0.0,41,0
1758197861,2025-09-18 12:17:41,0.0,0.0,774,1023,25.1,0.0,41,0
1758197891,2025-09-18 12:18:11,0.0,0.0,773,1023,25.2,0.0,41,0
1758197921,2025-09-18 12:18:41,0.0,0.0,774,1023,25.1,0.0,41,0
1758198341,2025-09-18 12:25:41,0.0,0.0,773,1023,25.2,0.0,41,0
1758198371,2025-09-18 12:26:11,0.0,0.0,772,1023,25.1,0.0,41,0
1758198401,2025-09-18 12:26:41,0.0,0.0,772,1023,25.2,0.0,41,0
1758198431,2025-09-18 12:27:11,0.0,0.0,773,1023,25.2,0.0,41,0
1758198461,2025-09-18 12:27:41,0.0,0.0,773,1023,25.2,0.0,41,0
1758198491,2025-09-18 12:28:11,0.0,0.0,771,1023,25.2,0.0,41,0
1758198521,2025-09-18 12:28:41,0.0,0.0,769,1023,25.2,0.0,41,0
1758198551,2025-09-18 12:29:11,0.0,0.0,771,1023,25.2,0.0,40,0
1758198581,2025-09-18 12:29:41,0.0,0.0,771,1023,25.1,0.0,40,0
1758198611,2025-09-18 12:30:11,0.0,0.0,769,1023,25.2,0.0,41,0
1758198641,2025-09-18 12:30:41,0.0,0.0,770,1023,25.2,0.0,41,0
1758198671,2025-09-18 12:31:11,0.0,0.0,769,1023,25.1,0.0,41,0
1758198701,2025-09-18 12:31:41,0.0,0.0,770,1023,25.1,0.0,41,0
1758198731,2025-09-18 12:32:11,0.0,0.0,773,1023,25.2,0.0,41,0
1758198761,2025-09-18 12:32:41,0.0,0.0,770,1023,25.1,0.0,41,0
1758198791,2025-09-18 12:33:11,0.0,0.0,771,1023,25.2,0.0,41,0
1758198821,2025-09-18 12:33:41,0.0,0.0,771,1023,25.1,0.0,41,0
1758198851,2025-09-18 12:34:11,0.0,0.0,769,1023,25.2,0.0,41,0
1758198881,2025-09-18 12:34:41,0.0,0.0,768,1023,25.1,0.0,40,0
1758198911,2025-09-18 12:35:11,0.0,0.0,770,1023,25.1,0.0,40,0
1758198941,2025-09-18 12:35:41,0.0,0.0,768,1023,25.0,0.0,40,0
1758198971,2025-09-18 12:36:11,0.0,0.0,768,1023,25.2,0.0,40,0
1758199001,2025-09-18 12:36:41,0.0,0.0,770,1023,25.2,0.0,40,0
1758199031,2025-09-18 12:37:11,0.0,0.0,770,1023,25.2,0.0,40,0
1758199061,2025-09-18 12:37:41,0.0,0.0,770,1023,25.2,0.0,40,0
